UNITID,Level of Student,Grand Total,Grand Total Men,Grand Total Women
119137,2,20190,9380,10810
119164,1,39020,18323,20697
119164,2,39020,18323,20697
119173,1,3485,352,3133
119173,2,2610,175,2435
119173,4,875,177,698
119216,1,21317,8515,12802
119216,2,21317,8515,12802
119270,1,1468,1079,389
119270,2,1468,1079,389
119331,1,7568,3330,4238
119331,2,7568,3330,4238
119553,1,1754,546,1208
119553,2,1754,546,1208
119605,1,28163,10772,17391
119605,2,13330,5846,7484
119605,4,14833,4926,9907
119678,1,3942,3155,787
119678,4,3942,3155,787
119775,1,637,400,237
119775,2,471,295,176
119775,4,166,105,61
119845,1,190,38,152
119845,2,190,38,152
119951,1,261,41,220
119951,2,261,41,220
120069,1,490,48,442
120069,2,490,48,442
120078,1,1035,163,872
120078,2,1035,163,872
120087,1,487,84,403
120087,2,487,84,403
120166,1,83,51,32
120166,2,31,23,8
120166,4,52,28,24
120184,1,1753,517,1236
120184,2,963,325,638
120184,4,790,192,598
120254,1,2110,876,1234
120254,2,2109,875,1234
120254,4,1,1,0
120290,1,15843,8843,7000
120290,2,15843,8843,7000
120342,1,27475,14026,13449
120342,2,27475,14026,13449
120403,1,1288,423,865
120403,2,1209,403,806
120403,4,79,20,59
120421,1,10912,4804,6108
120421,2,10912,4804,6108
120537,1,1620,666,954
120537,2,1021,443,578
120537,4,599,223,376
120661,1,1223,238,985
120661,2,1223,238,985
120698,1,1261,269,992
120698,2,134,51,83
120698,4,1127,218,909
120768,1,1651,182,1469
120768,2,743,59,684
120768,4,908,123,785
120795,1,120,51,69
120795,4,120,51,69
120838,1,58,29,29
120838,2,10,7,3
120838,4,48,22,26
120865,1,1326,516,810
120865,2,1299,506,793
120865,4,27,10,17
120883,1,7000,3068,3932
120883,2,3875,1860,2015
120883,4,3125,1208,1917
120953,1,6422,5498,924
120953,2,6422,5498,924
120971,1,34820,18153,16667
120971,2,34820,18153,16667
121044,1,36788,17279,19509
121044,2,36788,17279,19509
121150,1,9814,3805,6009
121150,2,3931,1629,2302
121150,4,5883,2176,3707
121257,1,1089,479,610
121257,2,1089,479,610
121275,1,284,193,91
121275,2,284,193,91
121309,1,5383,1757,3626
121309,2,3449,1214,2235
121309,4,1934,543,1391
121345,1,1680,810,870
121345,2,1680,810,870
121363,1,5571,2103,3468
121363,2,5571,2103,3468
121433,1,147,7,140
121433,2,147,7,140
121619,1,45859,27879,17980
121619,2,45859,27879,17980
121628,1,109,57,52
121628,4,109,57,52
121637,1,128,8,120
121637,2,128,8,120
121691,1,5752,2397,3355
121691,2,3320,1424,1896
121691,4,2432,973,1459
121707,1,6345,2860,3485
121707,2,6345,2860,3485
121859,1,304,41,263
121859,2,304,41,263
121868,1,195,3,192
121868,2,195,3,192
121886,1,30796,17892,12904
121886,2,30796,17892,12904
121901,1,30458,12686,17772
121901,2,30458,12686,17772
121992,1,547,43,504
121992,2,547,43,504
122117,1,171,73,98
122117,2,20,8,12
122117,4,151,65,86
122180,1,31490,12807,18683
122180,2,31490,12807,18683
122205,1,31495,13442,18053
122205,2,31495,13442,18053
122296,1,2495,610,1885
122296,2,1100,231,869
122296,4,1395,379,1016
122339,1,24195,10759,13436
122339,2,24195,10759,13436
122375,1,35100,15853,19247
122375,2,35100,15853,19247
122384,1,26785,13960,12825
122384,2,26785,13960,12825
122409,1,37838,16774,21064
122409,2,32543,14754,17789
122409,4,5295,2020,3275
122436,1,10126,4394,5732
122436,2,6279,2855,3424
122436,4,3847,1539,2308
122454,1,476,169,307
122454,2,362,135,227
122454,4,114,34,80
122506,1,453,229,224
122506,2,223,126,97
122506,4,230,103,127
122597,1,33236,14405,18831
122597,2,29527,13142,16385
122597,4,3709,1263,2446
122603,1,173,87,86
122603,4,173,87,86
122612,1,12388,4471,7917
122612,2,7393,2759,4634
122612,4,4995,1712,3283
122649,1,177,79,98
122649,4,177,79,98
122658,1,24808,10066,14742
122658,2,24808,10066,14742
122685,1,9883,3212,6671
122685,2,9883,3212,6671
122728,1,2712,1115,1597
122728,2,1686,714,972
122728,4,1026,401,625
122746,1,14594,6593,8001
122746,2,14594,6593,8001
122755,1,38805,18568,20237
122755,2,29357,14913,14444
122755,4,9448,3655,5793
122791,1,13713,6830,6883
122791,2,13713,6830,6883
122834,1,599,135,464
122834,2,595,134,461
122834,4,4,1,3
122852,1,174,41,133
122852,2,174,41,133
122889,1,21423,9617,11806
122889,2,21423,9617,11806
122931,1,9423,4618,4805
122931,2,5797,2931,2866
122931,4,3626,1687,1939
122977,1,40173,18171,22002
122977,2,40173,18171,22002
123013,1,29046,13232,15814
123013,2,29046,13232,15814
123095,1,816,186,630
123095,4,816,186,630
123165,1,1140,25,1115
123165,2,1104,4,1100
123165,4,36,21,15
123217,1,16022,6800,9222
123217,2,16022,6800,9222
123280,1,70,33,37
123280,2,50,26,24
123280,4,20,7,13
123299,1,13151,5427,7724
123299,2,13151,5427,7724
123341,1,25854,11514,14340
123341,2,25854,11514,14340
123350,1,182,44,138
123350,2,182,44,138
123448,1,438,156,282
123448,4,438,156,282
123457,1,982,382,600
123457,2,818,314,504
123457,4,164,68,96
123484,1,2834,1306,1528
123484,2,2834,1306,1528
123493,1,360,114,246
123493,2,360,114,246
123509,1,14927,6866,8061
123509,2,14927,6866,8061
123527,1,19888,8208,11680
123527,2,19888,8208,11680
123554,1,4404,1707,2697
123554,2,2995,1262,1733
123554,4,1409,445,964
123563,1,13835,5777,8058
123563,2,13835,5777,8058
123572,1,10360,3907,6453
123572,2,9406,3623,5783
123572,4,954,284,670
123633,1,564,232,332
123633,4,564,232,332
123642,1,297,26,271
123642,2,297,26,271
123651,1,2813,895,1918
123651,2,2479,808,1671
123651,4,334,87,247
123679,1,894,239,655
123679,2,894,239,655
123800,1,26177,11826,14351
123800,2,26177,11826,14351
